House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
20,Butterfly Oval,Leon,Lyons,88,Head,Divorced,Male,"Retired Surveyor, rural practice",None,Christian
21,Butterfly Oval,Francis,Savage,43,Head,Divorced,Male,Equities trader,None,Catholic
22,Butterfly Oval,Rachel,Barlow,74,Head,Widowed,Female,Retired Hydrologist,None,Christian
23,Butterfly Oval,Georgia,Wright,35,Head,Divorced,Female,Technical brewer,None,Methodist
24,Butterfly Oval,Kelly,Bell,74,Head,Widowed,Female,Retired Estate agent,None,Christian
25,Butterfly Oval,Sophie,Hardy,72,Head,Widowed,Female,Retired Retail buyer,None,Methodist
26,Butterfly Oval,Marion,Nelson,53,Head,Single,Female,Civil Service fast streamer,None,Christian
26,Butterfly Oval,Melissa,Nelson,16,Daughter,NA,Female,Student,None,NA
27,Butterfly Oval,Louis,Gibson,84,Head,Widowed,Male,Retired Museum education officer,None,Christian
28,Butterfly Oval,Hollie,Marshall,79,Head,Single,Female,"Retired Engineer, biomedical",None,Christian
29,Butterfly Oval,Mohammed,Harding,69,Head,Widowed,Male,Retired Control and instrumentation engineer,None,Christian
30,Butterfly Oval,Frank,Davies,46,Head,Married,Male,Rural practice surveyor,None,None
30,Butterfly Oval,Sarah,Davies,42,Wife,Married,Female,Unemployed,None,None
31,Butterfly Oval,Ashley,Lawson,49,Head,Married,Male,Theatre director,None,Christian
31,Butterfly Oval,Beth,Lawson,46,Wife,Married,Female,Control and instrumentation engineer,None,Christian
32,Butterfly Oval,Charlene,Collier,84,Head,Divorced,Female,"Retired Doctor, hospital",None,Catholic
33,Butterfly Oval,Sylvia,Wright,21,Head,Single,Female,University Student,None,Methodist
33,Butterfly Oval,Carly,Williams,29,None,Widowed,Female,"Designer, fashion/clothing",None,Christian
33,Butterfly Oval,Martyn,Sanders,54,None,Single,Male,Tax adviser,None,Christian
34,Butterfly Oval,Phillip,Stephens,74,Head,Married,Male,"Retired Research officer, government",None,Methodist
34,Butterfly Oval,Paula,Owen,73,Wife,Married,Female,"Retired Engineer, drilling",None,None
35,Butterfly Oval,Nathan,Holt,46,Head,Married,Male,Interior and spatial designer,None,Catholic
35,Butterfly Oval,Amber,Holt,46,Wife,Married,Female,"Nurse, learning disability",None,None
35,Butterfly Oval,Sheila,Holt,14,Daughter,NA,Female,Student,None,NA
36,Butterfly Oval,Glen,Ingram,25,Head,Single,Male,Amenity horticulturist,None,None
37,Butterfly Oval,John,Webb,83,Head,Married,Male,"Retired Teacher, early years/pre",None,Methodist
37,Butterfly Oval,Zoe,Webb,80,Wife,Married,Female,"Retired Psychologist, clinical",None,None
38,Butterfly Oval,Charlotte,Kaur,34,Head,Married,Female,Hydrographic surveyor,None,Christian
38,Butterfly Oval,Max,Kaur,37,Husband,Married,Male,Archivist,None,Christian
38,Butterfly Oval,Rachel,Kaur,1,Daughter,NA,Female,Child,None,NA
39,Butterfly Oval,Damien,Clarke,97,Head,Widowed,Male,"Retired Teacher, English as a foreign language",None,Christian
40,Butterfly Oval,Gail,O'Sullivan,81,Head,Married,Female,Retired Environmental education officer,None,Methodist
40,Butterfly Oval,Robin,O'Sullivan,79,Husband,Married,Male,"Retired Exhibitions officer, museum/gallery",None,None
41,Butterfly Oval,Lydia,Lee,57,Head,Married,Female,"Engineer, technical sales",None,Christian
41,Butterfly Oval,Kyle,Lee,58,Husband,Married,Male,Forest/woodland manager,None,None
41,Butterfly Oval,Leah,Lee,21,Daughter,Divorced,Female,University Student,None,Christian
41,Butterfly Oval,Sam,Lee,17,Son,NA,Male,Student,None,NA
42,Butterfly Oval,Pamela,Baxter,55,Head,Divorced,Female,Clinical biochemist,None,Christian
43,Butterfly Oval,Valerie,Collins,47,Head,Divorced,Female,Radio broadcast assistant,None,Catholic
44,Butterfly Oval,Ricky,Hewitt,69,Head,Widowed,Male,"Retired Teacher, secondary school",None,Catholic
45,Butterfly Oval,Joel,Owen,58,Head,Single,Male,"Lecturer, higher education",None,None
1,Porter Mountain,Natalie,Perry,43,Head,Single,Female,Unemployed,None,Catholic
1,Porter Mountain,Sarah,Perry,16,Daughter,NA,Female,Student,None,NA
1,Porter Mountain,Clare,Perry,16,Daughter,NA,Female,Student,None,NA
1,Porter Mountain,Gemma,Perry,12,Daughter,NA,Female,Student,None,NA
2,Porter Mountain,Victoria,Hill,64,Head,Single,Female,"Programmer, applications",None,None
3,Porter Mountain,Joyce,Evans,77,Head,Single,Female,Unemployed,None,Catholic
3,Porter Mountain,Aaron,Evans,38,Son,Single,Male,"Education officer, environmental",None,Catholic
3,Porter Mountain,Alexander,Evans,35,Son,Single,Male,Human resources officer,None,None
4,Porter Mountain,Annette,Thompson,72,Head,Single,Female,Retired Herbalist,None,Christian
5,Porter Mountain,Lydia,Brookes,20,Head,Single,Female,University Student,None,Christian
5,Porter Mountain,Julie,Morgan,19,None,Single,Female,University Student,None,Catholic
6,Porter Mountain,June,Barton,70,Head,Divorced,Female,Retired Event organiser,None,None
7,Porter Mountain,Leanne,Wright,68,Head,Widowed,Female,Retired Soil scientist,None,Christian
8,Porter Mountain,Caroline,Martin,38,Head,Divorced,Female,Unemployed,None,Christian
8,Porter Mountain,Francis,Martin,17,Adopted Son,NA,Male,Student,None,NA
8,Porter Mountain,Carl,Martin,17,Son,NA,Male,Student,None,NA
9,Porter Mountain,Pamela,Martin,36,Head,Single,Female,Art gallery manager,None,Methodist
10,Porter Mountain,Lynn,Sharpe,49,Head,Single,Female,"Buyer, retail",None,Jewish
11,Porter Mountain,Andrea,Stevens,37,Head,Divorced,Female,Tax adviser,None,Muslim
12,Porter Mountain,Emily,Bailey,35,Head,Single,Female,"Production assistant, television",None,None
13,Porter Mountain,Sam,Walker,47,Head,Single,Male,"Engineer, civil (consulting)",None,None
14,Porter Mountain,Howard,Thomas,20,Head,Single,Male,University Student,None,Jewish
15,Porter Mountain,Marcus,Barker,79,Head,Widowed,Male,Retired Aeronautical engineer,None,None
16,Porter Mountain,James,Hunt,79,Head,Single,Male,Retired English as a second language teacher,None,Methodist
17,Porter Mountain,Gerald,Ross,38,Head,Single,Male,Unemployed,None,None
18,Porter Mountain,Heather,Smith,28,Head,Single,Female,Public relations officer,None,Christian
18,Porter Mountain,Mohammad,Morrison,28,Partner,Single,Male,Secondary school teacher,None,None
18,Porter Mountain,Emma,Smith,11,Daughter,NA,Female,Student,None,NA
19,Porter Mountain,Sheila,Robertson,51,Head,Married,Female,Conference centre manager,None,None
19,Porter Mountain,Frederick,Robertson,56,Husband,Married,Male,Landscape architect,None,None
19,Porter Mountain,Michael,Robertson,13,Son,NA,Male,Student,None,NA
20,Porter Mountain,Lynne,Adams,88,Head,Widowed,Female,Retired Commercial/residential surveyor,None,Christian
21,Porter Mountain,Georgina,Sharpe,58,Head,Single,Female,Broadcast presenter,None,Christian
21,Porter Mountain,Frank,Sharpe,36,Son,Single,Male,"Therapist, art",None,None
22,Porter Mountain,Megan,Wood,31,Head,Single,Female,Archaeologist,None,None
23,Porter Mountain,Dawn,Thomas,24,Head,Single,Female,Counsellor,None,None
24,Porter Mountain,Alison,Sharpe,48,Head,Married,Female,"Programmer, systems",None,None
24,Porter Mountain,Robin,Sharpe,49,Husband,Married,Male,Barista,None,None
24,Porter Mountain,Amy,Sharpe,9,Daughter,NA,Female,Student,None,NA
24,Porter Mountain,Luke,Sharpe,6,Son,NA,Male,Student,None,NA
25,Porter Mountain,Barry,Smith,70,Head,Divorced,Male,Retired Passenger transport manager,None,None
26,Porter Mountain,Bethany,Smith,47,Head,Married,Female,Professor Emeritus,None,Methodist
26,Porter Mountain,Maurice,Smith,52,Husband,Married,Male,Fine artist,None,Methodist
26,Porter Mountain,Marian,Smith,53,Cousin,Single,Female,"Designer, interior/spatial",None,Methodist
26,Porter Mountain,Darren,Smith,62,Cousin,Single,Male,"Pharmacist, community",None,None
27,Porter Mountain,Elliott,Willis,80,Head,Married,Male,Retired Training and development officer,None,Christian
27,Porter Mountain,Maria,Willis,77,Wife,Married,Female,Retired Metallurgist,None,Christian
28,Porter Mountain,Amy,Glover,37,Head,Divorced,Female,Social researcher,None,None
28,Porter Mountain,Natalie,Moore,44,Lodger,Single,Female,Chief Financial Officer,None,None
28,Porter Mountain,Hugh,Andrews,44,Lodger,Single,Male,Psychotherapist,None,Methodist
29,Porter Mountain,Connor,Parkin,24,Head,Single,Male,Oncologist,None,Catholic
30,Porter Mountain,Margaret,Nixon-Stevenson,30,Head,Married,Female,IT sales professional,None,Methodist
30,Porter Mountain,Michael,Nixon-Stevenson,31,Husband,Married,Male,"Engineer, drilling",None,None
30,Porter Mountain,Harriet,Nixon-Stevenson,7,Daughter,NA,Female,Student,None,NA
31,Porter Mountain,Claire,Morrison,40,Head,Single,Female,Further education lecturer,None,None
31,Porter Mountain,Hannah,Day,19,None,Single,Female,Television camera operator,None,None
32,Porter Mountain,Natalie,Kemp,48,Head,Single,Female,Further education lecturer,None,None
32,Porter Mountain,Adam,Kemp,9,Son,NA,Male,Student,None,NA
33,Porter Mountain,Susan,Clark,84,Head,Widowed,Female,Retired Research scientist (medical),None,Christian
34,Porter Mountain,Lesley,Robinson,54,Head,Married,Female,Unemployed,None,Christian
34,Porter Mountain,Paul,Robinson,56,Husband,Married,Male,"Research officer, trade union",None,Christian
34,Porter Mountain,Carolyn,Robinson,21,Daughter,Divorced,Female,University Student,None,None
35,Porter Mountain,Bradley,Howarth,99,Head,Divorced,Male,Retired Interior and spatial designer,None,Methodist
1,Duchess Drive,Garry,Moore,45,Head,Married,Male,Public relations account executive,None,Methodist
1,Duchess Drive,Angela,Moore,46,Wife,Married,Female,English as a second language teacher,None,Methodist
2,Duchess Drive,Bethany,White,29,Head,Single,Female,Archivist,None,None
2,Duchess Drive,Lewis,Taylor,58,None,Single,Male,Plant breeder/geneticist,None,Christian
2,Duchess Drive,Antony,Duncan,51,None,Single,Male,Unemployed,Deaf,None
2,Duchess Drive,Anna,Phillips,27,None,Single,Female,Firefighter,None,None
2,Duchess Drive,Mohamed,Turnbull,28,None,Single,Male,"Engineer, civil (consulting)",None,None
2,Duchess Drive,Mohamed,Dobson,57,None,Single,Male,Planning and development surveyor,None,None
3,Duchess Drive,Catherine,Morris,44,Head,Single,Female,Pension scheme manager,None,None
3,Duchess Drive,Iain,Bowen,58,None,Single,male,Unemployed,None,Christian
4,Duchess Drive,Patrick,Morley,89,Head,Widowed,Male,Retired Wellsite geologist,None,None
5,Duchess Drive,Francesca,Grant,36,Head,Married,Female,"Designer, multimedia",None,Catholic
5,Duchess Drive,Gareth,Grant,35,Husband,Married,Male,Software engineer,None,None
5,Duchess Drive,Edward,Grant,19,Son,Single,Male,University Student,None,Catholic
5,Duchess Drive,Chelsea,Grant,6,Daughter,NA,Female,Student,None,NA
6,Duchess Drive,Nathan,Leach,55,Head,Married,Male,Ambulance person,None,Christian
6,Duchess Drive,Joan,Leach,46,Wife,Married,Female,Systems analyst,None,None
6,Duchess Drive,Jayne,Leach,13,Daughter,NA,Female,Student,None,NA
6,Duchess Drive,Neil,Leach,11,Son,NA,Male,Student,None,NA
7,Duchess Drive,Valerie,Finch,33,Head,Married,Female,"Producer, television/film/video",None,None
7,Duchess Drive,Elliot,Finch,36,Husband,Married,Male,Advertising copywriter,None,None
7,Duchess Drive,Hayley,Finch,14,Daughter,NA,Female,Student,None,NA
7,Duchess Drive,Bethany,Finch,6,Daughter,NA,Female,Student,None,NA
8,Duchess Drive,Angela,Hammond,47,Head,Single,Female,Financial controller,None,Catholic
8,Duchess Drive,Bruce,Hammond,16,Step-Son,NA,Male,Student,None,NA
8,Duchess Drive,Clive,Hammond,14,Step-Son,NA,Male,Student,None,NA
9,Duchess Drive,Katherine,Adams,34,Head,Married,Female,"Engineer, chemical",None,None
9,Duchess Drive,Bernard,Adams,37,Husband,Married,Male,Arboriculturist,None,None
10,Duchess Drive,Kathleen,Lowe,39,Head,Married,Female,Sport and exercise psychologist,None,None
10,Duchess Drive,Adam,Lowe,39,Husband,Married,Male,Insurance account manager,Physical Disability,None
10,Duchess Drive,Mohammad,Lowe,19,Son,Single,Male,University Student,None,None
10,Duchess Drive,Bethany,Green-Lowe,15,Daughter,NA,Female,Student,None,NA
10,Duchess Drive,David,Green-Lowe,11,Son,NA,Male,Student,None,NA
11,Duchess Drive,Rebecca,Walker,35,Head,Single,Female,Seismic interpreter,None,None
12,Duchess Drive,Brenda,Hyde,53,Head,Married,Female,Product/process development scientist,None,Christian
12,Duchess Drive,Antony,Hyde,57,Husband,Married,Male,Industrial buyer,None,None
12,Duchess Drive,Clifford,Hyde,16,Son,NA,Male,Student,None,NA
13,Duchess Drive,Beth,Hall,59,Head,Married,Female,Herbalist,None,Catholic
13,Duchess Drive,Wayne,Hall,62,Husband,Married,Male,"Librarian, academic",None,None
13,Duchess Drive,Susan,Hall,33,Daughter,Single,Female,"Research officer, government",None,None
14,Duchess Drive,Jacqueline,Taylor,46,Head,Divorced,Female,Unemployed,None,Catholic
14,Duchess Drive,Yvonne,Taylor,15,Daughter,NA,Female,Student,None,NA
15,Duchess Drive,Matthew,Duffy,38,Head,Single,Male,Textile designer,None,Christian
15,Duchess Drive,Sarah,Hudson,36,None,Single,Female,"Therapist, music",None,None
16,Duchess Drive,Louise,Russell,77,Head,Widowed,Female,Retired Special educational needs teacher,None,Methodist
17,Duchess Drive,Jason,Cooper,62,Head,Married,Male,Advertising copywriter,None,None
17,Duchess Drive,Pauline,Cooper,63,Wife,Married,Female,Data processing manager,None,None
18,Duchess Drive,Ronald,Edwards,62,Head,Single,Male,Copy,None,Christian
19,Duchess Drive,Rosemary,Bentley,68,Head,Married,Female,"Retired Editor, film/video",None,Christian
19,Duchess Drive,Brian,Bentley,70,Husband,Married,Male,Retired Petroleum engineer,None,None
19,Duchess Drive,Simon,Bentley,36,Son,Single,Male,Unemployed,None,Christian
19,Duchess Drive,Howard,Bentley,35,Son,Divorced,Male,Heritage manager,None,None
19,Duchess Drive,Shaun,Bentley,32,Son,Single,Male,Community education officer,None,Christian
20,Duchess Drive,Debra,Gordon,61,Head,Single,Female,Public librarian,None,Christian
1,Duck Street,Jake,Mills,70,Head,Divorced,Male,Retired Logistics and distribution manager,None,None
2,Duck Street,Debra,Robinson,61,Head,Divorced,Female,"Horticulturist, commercial",None,None
2,Duck Street,Jacqueline,Robinson,12,Granddaughter,NA,Female,Student,None,NA
3,Duck Street,Karl,George,65,Head,Divorced,Male,"Engineer, manufacturing",None,Christian
4,Duck Street,Shaun,Roberts,22,Head,Single,Male,University Student,None,None
5,Duck Street,Michelle,Nolan,58,Head,Single,Female,"Psychologist, sport and exercise",None,Christian
5,Duck Street,Robin,Nolan,27,Son,Single,Male,Unemployed,None,Christian
6,Duck Street,Debra,Taylor,18,Head,Married,Female,Student,None,NA
6,Duck Street,Clifford,Taylor,20,Husband,Married,Male,University Student,None,None
7,Duck Street,Keith,Dennis,59,Head,Married,Male,Cartographer,None,None
7,Duck Street,Josephine,Dennis,54,Wife,Married,Female,"Solicitor, Scotland",None,None
8,Duck Street,James,Hodgson,74,Head,Widowed,Male,Retired Medical illustrator,None,None
9,Duck Street,Clive,Hall,64,Head,Single,Male,Unemployed,None,Christian
10,Duck Street,Andrea,Barton,39,Head,Single,Female,Legal secretary,None,Christian
10,Duck Street,Rachel,Cook-Barton,8,Daughter,NA,Female,Student,None,NA
10,Duck Street,Leigh,Cook-Barton,5,Son,NA,Male,Student,None,NA
11,Duck Street,Paige,Jones,42,Head,Single,Female,Manufacturing systems engineer,None,None
12,Duck Street,Aimee,Webb,60,Head,Single,Female,Unemployed,None,Christian
12,Duck Street,Jason,Webb,28,Son,Divorced,Male,Publishing rights manager,None,Christian
12,Duck Street,Lewis,Webb,25,Son,Single,Male,Unemployed,None,Christian
13,Duck Street,Suzanne,Matthews,50,Head,Married,Female,Chief Executive Officer,None,Christian
13,Duck Street,Stewart,Matthews,48,Husband,Married,Male,Animal nutritionist,None,Christian
13,Duck Street,Ruth,Matthews,14,Daughter,NA,Female,Student,None,NA
14,Duck Street,Wendy,Williams,41,Head,Single,Female,Unemployed,None,None
14,Duck Street,Connor,Williams,10,Son,NA,Male,Student,None,NA
14,Duck Street,Shirley,Williams,8,Daughter,NA,Female,Student,None,NA
15,Duck Street,Lawrence,Dale,78,Head,Married,Male-,Retired Lexicographer,None,None
15,Duck Street,Sharon,Dale,80,Wife,Married,Female,"Retired Programmer, systems",None,None
16,Duck Street,Julian,Thomson,28,Head,Single,Male,Conference centre manager,None,None
16,Duck Street,June,Hudson,27,Partner,Single,Female,Building services engineer,None,None
17,Duck Street,Sylvia,Barker,40,Head,Single,Female,"Teacher, primary school",None,Christian
17,Duck Street,Colin,Barker,7,Son,NA,Male,Student,None,NA
18,Duck Street,Sian,Bryan,47,Head,Married,Female,Tourism officer,None,Catholic
18,Duck Street,James,Bryan,49,Husband,Married,Male,Learning mentor,None,Catholic
19,Duck Street,Julia,Barker,62,Head,Married,Female,"Runner, broadcasting/film/video",None,None
19,Duck Street,Robert,Barker,65,Husband,Married,Male,Proofreader,None,None
19,Duck Street,Wendy,Barker,40,Daughter,Single,Female,Pathologist,None,None
19,Duck Street,Shannon,Barker,38,Daughter,Single,Female,IT consultant,None,None
19,Duck Street,Ian,Barker,34,Son,Single,Male,Advertising account executive,None,None
20,Duck Street,Suzanne,Connor,54,Head,Single,Female,Passenger transport manager,None,None
20,Duck Street,Bethany,Connor,34,Daughter,Single,Female,"Surveyor, hydrographic",None,None
20,Duck Street,Katy,Connor,33,Daughter,Divorced,Female,Media buyer,None,None
21,Duck Street,Alexander,Storey,19,Head,Divorced,Male,University Student,None,Christian
22,Duck Street,Robin,Gray,21,Head,Single,Male,University Student,None,Christian
22,Duck Street,Gavin,Griffin,52,None,Single,Male,Chartered public finance accountant,None,Christian
22,Duck Street,Beth,Saunders,56,None,Single,Female,Archaeologist,None,Christian
22,Duck Street,Shaun,Lee,47,None,Single,Male,Research scientist (medical),None,None
23,Duck Street,Melissa,Johnston,24,Head,Single,Female,Chief Marketing Officer,None,Catholic
24,Duck Street,Annette,Walker,68,Head,Widowed,Female,Retired Physiotherapist,None,None
24,Duck Street,Mohammed,Walker,37,Son,Divorced,Male,Landscape architect,None,None
24,Duck Street,Victor,Walker,33,Son,Single,Male,Unemployed,None,None
25,Duck Street,Michelle,Humphreys,51,Head,Married,Female,Minerals surveyor,None,Christian
25,Duck Street,Roy,Humphreys,53,Husband,Married,Male,Make,None,None
26,Duck Street,Stacey,Jackson,52,Head,Married,Female,Operations geologist,None,Catholic
26,Duck Street,Guy,Jackson,50,Husband,Married,Male,Quantity surveyor,None,Catholic
26,Duck Street,Jason,Jackson,19,Son,Single,Male,University Student,None,Catholic
26,Duck Street,Charlotte,Jackson,16,Daughter,NA,Female,Student,None,NA
26,Duck Street,Ellie,Scott-Jackson,11,Daughter,NA,Female,Student,None,NA
27,Duck Street,Debra,Arnold,31,Head,Divorced,Female,Wellsite geologist,None,None
28,Duck Street,Tracey,Gray,76,Head,Married,Female,Retired Armed forces logistics/support/administrative officer,None,None
28,Duck Street,Jonathan,Gray,78,Husband,Married,Male,Retired Financial adviser,None,None
28,Duck Street,Thomas,Kelly,22,Grandson,Divorced,Male,University Student,None,None
28,Duck Street,Amy,Bartlett,18,Granddaughter,Single,Female,Student,None,None
28,Duck Street,Leonard,Carter,16,Grandson,NA,Male,Student,None,NA
29,Duck Street,Bradley,Hurst,89,Head,Married,Male,Retired Orthoptist,None,None
29,Duck Street,Tracey,Hurst,87,Wife,Married,Female,Retired Public house manager,None,None
30,Duck Street,Sylvia,Lane,54,Head,Single,Female,Information officer,None,None
30,Duck Street,Cameron,Simpson,57,Partner,Single,Male,Probation officer,None,None
30,Duck Street,Melissa,Lane,22,Daughter,Single,Female,University Student,None,None
30,Duck Street,Oliver,Lane,18,Son,Single,Male,Student,None,None
30,Duck Street,Joanne,Lane,16,Daughter,NA,Female,Student,None,NA
31,Duck Street,Julie,Daly,66,Head,Married,Female,Health and safety adviser,None,Christian
31,Duck Street,Jack,Daly,73,Husband,Married,Male,"Retired Administrator, charities/voluntary organisations",None,Christian
32,Duck Street,Elliott,Watts,76,Head,Single,Male,"Retired Administrator, education",None,Methodist
33,Duck Street,Declan,Evans,33,Head,Divorced,Male,Product manager,None,None
33,Duck Street,Leonard,Roberts,47,Cousin,Single,Male,Commercial horticulturist,None,None
34,Duck Street,Dorothy,Moore,79,Head,Divorced,Female,Retired Fitness centre manager,None,Christian
35,Duck Street,Julie,Edwards,34,Head,Divorced,Female,Unemployed,None,Christian
35,Duck Street,Carole,Edwards,13,Daughter,NA,Female,Student,None,NA
36,Duck Street,Jayne,Jackson,51,Head,Divorced,Female,"Chemist, analytical",None,None
36,Duck Street,Gail,Jackson,10,Daughter,NA,Female,Student,None,NA
36,Duck Street,Olivia,Jackson,9,Daughter,NA,Female,Student,None,NA
36,Duck Street,Chelsea,Jackson,5,Daughter,NA,Female,Student,None,NA
36,Duck Street,Kayleigh,Jackson,3,Daughter,NA,Female,Child,None,NA
37,Duck Street,Samuel,Howard,51,Head,Single,Male,Geophysical data processor,None,Methodist
37,Duck Street,Terry,Howard,22,Son,Widowed,Male,University Student,None,None
37,Duck Street,Robin,Howard,21,Son,Single,Male,University Student,None,Methodist
38,Duck Street,Rita,James,60.1841585,Head,Married,Female,"Scientist, audiological",None,Methodist
38,Duck Street,Luke,James,65.1841585,Husband,Married,Male,Estate manager/land agent,None,Methodist
38,Duck Street,Craig,James,15,Son,NA,Male,Student,None,NA
38,Duck Street,Janice,James,12,Daughter,NA,Female,Student,None,NA
38,Duck Street,Terry,James,9,Son,NA,Male,Student,None,NA
39,Duck Street,Marilyn,Graham,41,Head,Single,Female,Art therapist,None,Catholic
39,Duck Street,Jasmine,Foster,31,Lodger,Single,Female,Unemployed,None,Christian
39,Duck Street,Glen,Murphy,22,Sibling,Divorced,Male,University Student,None,Christian
39,Duck Street,Clifford,Walker,43,Lodger,Single,Male,Television camera operator,None,None
1,John Roads,Jamie,Taylor,45,Head,Married,Male,Mechanical engineer,None,Methodist
1,John Roads,Vanessa,Taylor,49,Wife,Married,Female,Unemployed,None,Methodist
1,John Roads,Patricia,Taylor,33,Daughter,Single,Female,"Horticulturist, amenity",None,Methodist
1,John Roads,Stephen,Taylor,12,Son,NA,Male,Student,None,NA
2,John Roads,David,Smith,56,Head,Single,Male,Chiropodist,Physical Disability,None
2,John Roads,Victoria,Parry,47,Partner,Single,Female,Architect,None,None
2,John Roads,Hayley,Smith,20,Daughter,Single,Female,University Student,None,None
2,John Roads,Charlene,Smith,19,Daughter,Single,Female,University Student,None,None
2,John Roads,Roger,Smith,16,Son,NA,Male,Student,None,NA
2,John Roads,Michelle,Smith,12,Daughter,NA,Female,Student,None,NA
3,John Roads,Annette,Ahmed,47,Head,Married,Female,Film/video editor,None,None
3,John Roads,Simon,Ahmed,47,Husband,Married,Male,"Engineer, chemical",None,None
3,John Roads,Patrick,Ahmed,18,Son,Single,Male,Student,None,None
3,John Roads,Anthony,Ahmed,17,Son,NA,Male,Student,None,NA
4,John Roads,Harriet,Roberts,23,Head,Single,Female,Actor,None,Catholic
4,John Roads,Rosemary,Conway,55,None,Single,Female,Paramedic,None,Christian
4,John Roads,Shannon,Kelly,20,None,Single,Female,University Student,None,None
1,Woodward Mews,Charlene,Sullivan,38,Head,Single,Female,Unemployed,None,None
1,Woodward Mews,Stewart,Moore,41,Partner,Single,Male,Architect,None,None
2,Woodward Mews,Hilary,Kennedy,70,Head,Widowed,Female,"Retired Chemist, analytical",None,None
3,Woodward Mews,Carole,Carr,58,Head,Married,Female,Unemployed,None,None
3,Woodward Mews,Ashley,Carr,60,Husband,Married,Male,Patent attorney,None,None
4,Woodward Mews,Katy,Shaw,29,Head,Divorced,Female,Unemployed,None,Methodist
4,Woodward Mews,Sian,Shaw,2,Daughter,NA,Female,Child,None,NA
5,Woodward Mews,Amanda,Booth,38,Head,Single,Female,Proofreader,None,Christian
5,Woodward Mews,Emily,Rogers,60,None,Single,Female,Passenger transport manager,None,Orthodoxy
5,Woodward Mews,Peter,Dawson,32,None,Single,Male,Science writer,None,Christian
6,Woodward Mews,Albert,Wilson,35,Head,Single,Male,"Lighting technician, broadcasting/film/video",None,Methodist
6,Woodward Mews,Lorraine,Charlton,31,Partner,Single,Female,Financial controller,None,Methodist
6,Woodward Mews,William,Wilson,5,Son,NA,Male,Student,None,NA
7,Woodward Mews,Lynn,Taylor,53,Head,Divorced,Female,Unemployed,None,Christian
7,Woodward Mews,Charlie,Taylor,17,Son,NA,Male,Student,None,NA
7,Woodward Mews,Mandy,Taylor,14,Daughter,NA,Female,Student,None,NA
8,Woodward Mews,Hannah,Flynn,61,Head,Married,Female,Regulatory affairs officer,None,Christian
8,Woodward Mews,Bernard,Flynn,61,Husband,Married,Male,"Buyer, industrial",None,None
9,Woodward Mews,Chloe,Hewitt,52,Head,Single,Female,Artist,None,Christian
9,Woodward Mews,Lee,Walker,54,Partner,Single,Male,Media buyer,None,Christian
10,Woodward Mews,Caroline,Kelly,48,Head,Married,Female,"Sales professional, IT",None,Catholic
10,Woodward Mews,Jeffrey,Kelly,50,Husband,Married,Male,"Conservator, museum/gallery",None,Catholic
10,Woodward Mews,Kenneth,Kelly,30,Son,Single,Male,Company secretary,None,Catholic
10,Woodward Mews,Lindsey,Kelly,27,Daughter,Single,Female,Market researcher,None,None
11,Woodward Mews,Gavin,Gibbs,70,Head,Widowed,Male,Retired Conference centre manager,None,None
12,Woodward Mews,Trevor,Palmer,18,Head,Single,Male,Student,None,NA
13,Woodward Mews,Catherine,Jones,25,Head,Single,Female,"Programmer, multimedia",None,Muslim
13,Woodward Mews,Ashleigh,Owen,52,None,Single,Female,Unemployed,None,Christian
14,Woodward Mews,Dennis,Newman,50,Head,Married,Male,Marine scientist,None,None
14,Woodward Mews,Vincent,Newman,50,Husband,Married,Male,Fast food restaurant manager,None,None
14,Woodward Mews,Mohammad,Moore,11,Grandson,NA,Male,Student,None,NA
15,Woodward Mews,Hayley,Macdonald,85,Head,Widowed,Female,Retired Financial trader,None,Christian
16,Woodward Mews,Eleanor,Morgan,32,Head,Divorced,Female,Clinical molecular geneticist,None,Methodist
17,Woodward Mews,Derek,Watts,19,Head,Single,Male,University Student,None,None
18,Woodward Mews,Leonard,Morris,69,Head,Married,Male,Retired Child psychotherapist,None,Christian
18,Woodward Mews,Jane,Morris,66,Wife,Married,Female,"Teacher, special educational needs",None,None
19,Woodward Mews,Sian,Smith,65,Head,Widowed,Female,Commercial art gallery manager,None,Christian
20,Woodward Mews,Beverley,Cameron,21,Head,Single,Female,University Student,None,Catholic
21,Woodward Mews,Jemma,Tucker,20,Head,Divorced,Female,University Student,None,None
22,Woodward Mews,Teresa,Rice,77,Head,Widowed,Female,Retired Higher education careers adviser,None,Christian
23,Woodward Mews,Tracy,Wilkinson,83,Head,Married,Female,Retired Copy,None,Christian
23,Woodward Mews,Ricky,Wilkinson,87,Husband,Married,Male,Retired Hydrogeologist,None,Christian
24,Woodward Mews,Hannah,Wallace,40,Head,Married,Female,English as a second language teacher,None,Catholic
24,Woodward Mews,Ryan,Wallace,42,Husband,Married,Male,Town planner,None,Catholic
25,Woodward Mews,Lauren,Ryan,63,Head,Widowed,Female,Quarry manager,None,None
25,Woodward Mews,Marian,Ryan,23,Daughter,Single,Female,Science writer,None,None
26,Woodward Mews,Vanessa,Allen,71,Head,Widowed,Female,Retired Sales promotion account executive,None,Methodist
27,Woodward Mews,Gail,Wood,29,Head,Single,Female,Banker,None,None
28,Woodward Mews,Carly,Kirk,41,Head,Married,Female,Toxicologist,None,Catholic
28,Woodward Mews,Gerald,Kirk,41,Husband,Married,Male,"Therapist, nutritional",None,Catholic
